Census Region Code,Age,Year,Deaths,Population,Crude Rate
CENS-R4,65-74 years,2020,1265,7278372,17.38026031095965
CENS-R4,75-84 years,1999,611,2317467,26.364992468069662
CENS-R4,75-84 years,2000,626,2356165,26.568597700076186
CENS-R4,75-84 years,2001,563,2419569,23.26860692958126
CENS-R4,75-84 years,2002,598,2461450,24.294623088017225
CENS-R4,75-84 years,2003,602,2493613,24.141677156800192
CENS-R4,75-84 years,2004,581,2517971,23.074133895902694
CENS-R4,75-84 years,2005,608,2548060,23.861290550457994
CENS-R4,75-84 years,2006,565,2556029,22.10460053465747
CENS-R4,75-84 years,2007,555,2558278,21.69428029322849
CENS-R4,75-84 years,2008,561,2561933,21.89752815549821
CENS-R4,75-84 years,2009,548,2565512,21.36025869300163
CENS-R4,75-84 years,2010,570,2676556,21.296023696122926
CENS-R4,75-84 years,2011,551,2621369,21.019551234488546
CENS-R4,75-84 years,2012,573,2662714,21.51939712639059
CENS-R4,75-84 years,2013,597,2720378,21.945479635550647
CENS-R4,75-84 years,2014,670,2795176,23.96986808701849
CENS-R4,75-84 years,2015,665,2869358,23.175916006298273
CENS-R4,75-84 years,2016,680,2950592,23.04622258855172
CENS-R4,75-84 years,2017,703,3043953,23.094968943344394
CENS-R4,75-84 years,2018,740,3203926,23.096663281236832
CENS-R4,75-84 years,2019,821,3348412,24.51908546499057
CENS-R4,75-84 years,2020,781,3479142,22.44806334435329
CENS-R4,85+ years,1999,230,709808,32.40312873340396
CENS-R4,85+ years,2000,222,775344,28.632452176066366
CENS-R4,85+ years,2001,208,800473,25.98463658361993
CENS-R4,85+ years,2002,249,762824,32.641867586756575
CENS-R4,85+ years,2003,265,846652,31.29975479890203
CENS-R4,85+ years,2004,249,869087,28.650756483528117
CENS-R4,85+ years,2005,258,907894,28.41741436775659
CENS-R4,85+ years,2006,261,873313,29.88619200676046
CENS-R4,85+ years,2007,261,993139,26.280309201431017
CENS-R4,85+ years,2008,259,1033332,25.064548470385123
CENS-R4,85+ years,2009,259,1076988,24.048550215972693
CENS-R4,85+ years,2010,285,1106515,25.75654193571709
CENS-R4,85+ years,2011,274,1053471,26.009258916477055
CENS-R4,85+ years,2012,287,1201927,23.87832206115679
CENS-R4,85+ years,2013,326,1096561,29.729308264656503
CENS-R4,85+ years,2014,379,1264848,29.964074734671673
CENS-R4,85+ years,2015,348,1299563,26.77823237503684
CENS-R4,85+ years,2016,337,1327649,25.383214991311707
CENS-R4,85+ years,2017,396,1336780,29.623423450380763
CENS-R4,85+ years,2018,348,1360650,25.57601146510859
CENS-R4,85+ years,2019,388,1376216,28.19324873421033
CENS-R4,85+ years,2020,397,1393833,28.482608748680796
