Census Region Code,Year,Age,Race,Deaths,Population,Crude Rate
CENS-R1,2004,5-14 years,White,27,5660519,0.5
CENS-R1,2004,15-24 years,Asian or Pacific Islander,17,415024,Unreliable
CENS-R1,2004,15-24 years,Black or African American,73,1155532,6.3
CENS-R1,2004,15-24 years,White,471,5732806,8.2
CENS-R1,2004,25-34 years,Asian or Pacific Islander,24,550263,4.4
CENS-R1,2004,25-34 years,Black or African American,80,1002915,8
CENS-R1,2004,25-34 years,White,550,5395806,10.2
CENS-R1,2004,35-44 years,Asian or Pacific Islander,14,467801,Unreliable
CENS-R1,2004,35-44 years,Black or African American,66,1092997,6
CENS-R1,2004,35-44 years,White,826,6810245,12.1
CENS-R1,2004,45-54 years,Asian or Pacific Islander,14,367611,Unreliable
CENS-R1,2004,45-54 years,Black or African American,41,900198,4.6
CENS-R1,2004,45-54 years,White,929,6682765,13.9
CENS-R1,2004,55-64 years,Asian or Pacific Islander,15,221697,Unreliable
CENS-R1,2004,55-64 years,Black or African American,23,579345,4
CENS-R1,2004,55-64 years,White,506,4839590,10.5
CENS-R1,2004,65-74 years,Asian or Pacific Islander,11,119261,Unreliable
CENS-R1,2004,65-74 years,Black or African American,11,353363,Unreliable
CENS-R1,2004,65-74 years,White,268,3155924,8.5
CENS-R1,2004,75-84 years,White,266,2496855,10.7
CENS-R1,2004,85+ years,White,105,937400,11.2
CENS-R1,2005,5-14 years,White,27,5540231,0.5
CENS-R1,2005,15-24 years,Asian or Pacific Islander,16,426438,Unreliable
CENS-R1,2005,15-24 years,Black or African American,53,1180815,4.5
CENS-R1,2005,15-24 years,White,460,5795121,7.9
CENS-R1,2005,25-34 years,Asian or Pacific Islander,44,561891,7.8
CENS-R1,2005,25-34 years,Black or African American,65,996355,6.5
CENS-R1,2005,25-34 years,White,537,5283999,10.2
CENS-R1,2005,35-44 years,Asian or Pacific Islander,23,481737,4.8
CENS-R1,2005,35-44 years,Black or African American,60,1084001,5.5
CENS-R1,2005,35-44 years,White,839,6665494,12.6
CENS-R1,2005,45-54 years,Asian or Pacific Islander,26,382486,6.8
CENS-R1,2005,45-54 years,Black or African American,57,925410,6.2
CENS-R1,2005,45-54 years,White,882,6765863,13
CENS-R1,2005,55-64 years,Black or African American,21,601207,3.5
CENS-R1,2005,55-64 years,White,538,5004337,10.8
CENS-R1,2005,65-74 years,Asian or Pacific Islander,10,127121,Unreliable
CENS-R1,2005,65-74 years,Black or African American,10,359822,Unreliable
CENS-R1,2005,65-74 years,White,284,3125614,9.1
CENS-R1,2005,75-84 years,Black or African American,17,197684,Unreliable
CENS-R1,2005,75-84 years,White,293,2480888,11.8
CENS-R1,2005,85+ years,White,114,964180,11.8
CENS-R1,2006,5-14 years,White,20,5443594,0.4
CENS-R1,2006,15-24 years,Asian or Pacific Islander,25,438339,5.7
CENS-R1,2006,15-24 years,Black or African American,46,1202319,3.8
CENS-R1,2006,15-24 years,White,423,5845876,7.2
CENS-R1,2006,25-34 years,Asian or Pacific Islander,26,571499,4.5
CENS-R1,2006,25-34 years,Black or African American,56,993692,5.6
CENS-R1,2006,25-34 years,White,565,5200273,10.9
CENS-R1,2006,35-44 years,Asian or Pacific Islander,16,497661,Unreliable
CENS-R1,2006,35-44 years,Black or African American,75,1078543,7
CENS-R1,2006,35-44 years,White,837,6510294,12.9
CENS-R1,2006,45-54 years,Asian or Pacific Islander,25,397332,6.3
CENS-R1,2006,45-54 years,Black or African American,53,948832,5.6
CENS-R1,2006,45-54 years,White,986,6841746,14.4
CENS-R1,2006,55-64 years,Asian or Pacific Islander,17,254616,Unreliable
CENS-R1,2006,55-64 years,Black or African American,22,622548,3.5
CENS-R1,2006,55-64 years,White,617,5169515,11.9
CENS-R1,2006,65-74 years,Black or African American,12,365033,Unreliable
CENS-R1,2006,65-74 years,White,280,3115571,9
CENS-R1,2006,75-84 years,White,277,2454240,11.3
CENS-R1,2006,85+ years,White,102,996607,10.2
CENS-R1,2007,5-14 years,White,19,5358762,Unreliable
