Census Region Code,Year,Age,Race,Deaths,Population,Crude Rate
CENS-R1,2019,45-54 years,Black or African American,70,984213,7.1
CENS-R1,2019,45-54 years,White,1028,5622736,18.3
CENS-R1,2019,55-64 years,Asian or Pacific Islander,34,454158,7.5
CENS-R1,2019,55-64 years,Black or African American,48,923258,5.2
CENS-R1,2019,55-64 years,White,1152,6328240,18.2
CENS-R1,2019,65-74 years,Asian or Pacific Islander,20,292240,6.8
CENS-R1,2019,65-74 years,Black or African American,14,555574,Unreliable
CENS-R1,2019,65-74 years,White,619,4701628,13.2
CENS-R1,2019,75-84 years,Black or African American,10,276336,Unreliable
CENS-R1,2019,75-84 years,White,344,2462682,14
CENS-R1,2019,85+ years,White,165,1185637,13.9
CENS-R1,2020,5-14 years,White,37,4655378,0.8
CENS-R1,2020,15-24 years,Asian or Pacific Islander,40,540297,7.4
CENS-R1,2020,15-24 years,Black or African American,79,1153160,6.9
CENS-R1,2020,15-24 years,White,477,5254616,9.1
CENS-R1,2020,25-34 years,Asian or Pacific Islander,44,705419,6.2
CENS-R1,2020,25-34 years,Black or African American,131,1291927,10.1
CENS-R1,2020,25-34 years,White,778,5637624,13.8
CENS-R1,2020,35-44 years,Asian or Pacific Islander,33,664511,5
CENS-R1,2020,35-44 years,Black or African American,62,1023657,6.1
CENS-R1,2020,35-44 years,White,768,5160507,14.9
CENS-R1,2020,45-54 years,Asian or Pacific Islander,35,561477,6.2
CENS-R1,2020,45-54 years,Black or African American,56,965937,5.8
CENS-R1,2020,45-54 years,White,886,5441895,16.3
CENS-R1,2020,55-64 years,Asian or Pacific Islander,28,460279,6.1
CENS-R1,2020,55-64 years,Black or African American,48,934320,5.1
CENS-R1,2020,55-64 years,White,952,6278841,15.2
CENS-R1,2020,65-74 years,Asian or Pacific Islander,27,307585,8.8
CENS-R1,2020,65-74 years,Black or African American,18,576111,Unreliable
CENS-R1,2020,65-74 years,White,616,4841191,12.7
CENS-R1,2020,75-84 years,Asian or Pacific Islander,11,143626,Unreliable
CENS-R1,2020,75-84 years,White,342,2510966,13.6
CENS-R1,2020,85+ years,White,170,1170834,14.5
CENS-R2,1999,5-14 years,White,59,7840490,0.8
CENS-R2,1999,15-24 years,American Indian or Alaska Native,22,80250,27.4
CENS-R2,1999,15-24 years,Asian or Pacific Islander,11,224212,Unreliable
CENS-R2,1999,15-24 years,Black or African American,115,1063500,10.8
CENS-R2,1999,15-24 years,White,849,7653015,11.1
CENS-R2,1999,25-34 years,American Indian or Alaska Native,13,67566,Unreliable
CENS-R2,1999,25-34 years,Asian or Pacific Islander,14,261372,Unreliable
CENS-R2,1999,25-34 years,Black or African American,129,989366,13
CENS-R2,1999,25-34 years,White,977,7505751,13
CENS-R2,1999,35-44 years,Asian or Pacific Islander,11,190428,Unreliable
CENS-R2,1999,35-44 years,Black or African American,90,1008931,8.9
CENS-R2,1999,35-44 years,White,1327,9043457,14.7
CENS-R2,1999,45-54 years,Asian or Pacific Islander,12,141484,Unreliable
CENS-R2,1999,45-54 years,Black or African American,49,734055,6.7
CENS-R2,1999,45-54 years,White,994,7508737,13.2
CENS-R2,1999,55-64 years,Black or African American,29,437760,6.6
CENS-R2,1999,55-64 years,White,559,4937401,11.3
CENS-R2,1999,65-74 years,Black or African American,26,317658,8.2
CENS-R2,1999,65-74 years,White,462,3901010,11.8
CENS-R2,1999,75-84 years,Black or African American,14,169396,Unreliable
CENS-R2,1999,75-84 years,White,446,2738204,16.3
CENS-R2,1999,85+ years,White,176,990236,17.8
CENS-R2,2000,5-14 years,White,60,7820646,0.8
CENS-R2,2000,15-24 years,American Indian or Alaska Native,14,85262,Unreliable
CENS-R2,2000,15-24 years,Asian or Pacific Islander,13,232455,Unreliable
CENS-R2,2000,15-24 years,Black or African American,101,1075127,9.4
CENS-R2,2000,15-24 years,White,827,7689836,10.8
CENS-R2,2000,25-34 years,American Indian or Alaska Native,13,70898,Unreliable
CENS-R2,2000,25-34 years,Asian or Pacific Islander,19,280142,Unreliable
CENS-R2,2000,25-34 years,Black or African American,84,990718,8.5
CENS-R2,2000,25-34 years,White,961,7404231,13
CENS-R2,2000,35-44 years,American Indian or Alaska Native,11,73857,Unreliable
CENS-R2,2000,35-44 years,Asian or Pacific Islander,13,199839,Unreliable
CENS-R2,2000,35-44 years,Black or African American,88,1011702,8.7
CENS-R2,2000,35-44 years,White,1396,8992911,15.5
CENS-R2,2000,45-54 years,Black or African American,61,762857,8
CENS-R2,2000,45-54 years,White,1066,7709493,13.8
CENS-R2,2000,55-64 years,Black or African American,24,445008,5.4
CENS-R2,2000,55-64 years,White,560,4991049,11.2
CENS-R2,2000,65-74 years,Black or African American,18,318218,Unreliable
CENS-R2,2000,65-74 years,White,462,3874015,11.9
CENS-R2,2000,75-84 years,Black or African American,15,171872,Unreliable
CENS-R2,2000,75-84 years,White,420,2751097,15.3
CENS-R2,2000,85+ years,White,182,1002648,18.2
CENS-R2,2001,5-14 years,Black or African American,16,1343561,Unreliable
CENS-R2,2001,5-14 years,White,56,7756247,0.7
CENS-R2,2001,15-24 years,American Indian or Alaska Native,15,89645,Unreliable
CENS-R2,2001,15-24 years,Asian or Pacific Islander,18,245415,Unreliable
CENS-R2,2001,15-24 years,Black or African American,96,1104769,8.7
CENS-R2,2001,15-24 years,White,868,7814786,11.1
CENS-R2,2001,25-34 years,American Indian or Alaska Native,24,70861,33.9
CENS-R2,2001,25-34 years,Asian or Pacific Islander,11,296436,Unreliable
CENS-R2,2001,25-34 years,Black or African American,100,980044,10.2
CENS-R2,2001,25-34 years,White,978,7238982,13.5
CENS-R2,2001,35-44 years,American Indian or Alaska Native,17,75016,Unreliable
CENS-R2,2001,35-44 years,Asian or Pacific Islander,14,210738,Unreliable
CENS-R2,2001,35-44 years,Black or African American,98,1013065,9.7
CENS-R2,2001,35-44 years,White,1435,8859749,16.2
CENS-R2,2001,45-54 years,Black or African American,52,807443,6.4
CENS-R2,2001,45-54 years,White,1258,8031481,15.7
CENS-R2,2001,55-64 years,Black or African American,30,456577,6.6
CENS-R2,2001,55-64 years,White,668,5105652,13.1
CENS-R2,2001,65-74 years,Black or African American,20,321462,6.2
CENS-R2,2001,65-74 years,White,483,3831760,12.6
CENS-R2,2001,75-84 years,Black or African American,20,177844,11.2
CENS-R2,2001,75-84 years,White,446,2781728,16
CENS-R2,2001,85+ years,White,160,1021216,15.7
CENS-R2,2002,5-14 years,White,54,7691047,0.7
CENS-R2,2002,15-24 years,American Indian or Alaska Native,19,92825,Unreliable
CENS-R2,2002,15-24 years,Asian or Pacific Islander,12,256202,Unreliable
CENS-R2,2002,15-24 years,Black or African American,96,1124658,8.5
CENS-R2,2002,15-24 years,White,871,7870254,11.1
CENS-R2,2002,25-34 years,American Indian or Alaska Native,13,71967,Unreliable
CENS-R2,2002,25-34 years,Asian or Pacific Islander,14,311107,Unreliable
CENS-R2,2002,25-34 years,Black or African American,108,978058,11
CENS-R2,2002,25-34 years,White,1011,7148694,14.1
CENS-R2,2002,35-44 years,American Indian or Alaska Native,10,75849,Unreliable
CENS-R2,2002,35-44 years,Black or African American,91,1003592,9.1
CENS-R2,2002,35-44 years,White,1445,8685961,16.6
CENS-R2,2002,45-54 years,Asian or Pacific Islander,11,164236,Unreliable
CENS-R2,2002,45-54 years,Black or African American,54,834694,6.5
CENS-R2,2002,45-54 years,White,1370,8114592,16.9
CENS-R2,2002,55-64 years,Black or African American,22,477886,4.6
CENS-R2,2002,55-64 years,White,726,5402336,13.4
CENS-R2,2002,65-74 years,Black or African American,13,321519,Unreliable
CENS-R2,2002,65-74 years,White,513,3797872,13.5
CENS-R2,2002,75-84 years,Black or African American,10,182779,Unreliable
CENS-R2,2002,75-84 years,White,444,2804195,15.8
CENS-R2,2002,85+ years,White,177,1033643,17.1
CENS-R2,2003,5-14 years,White,56,7622906,0.7
CENS-R2,2003,15-24 years,American Indian or Alaska Native,18,96104,Unreliable
CENS-R2,2003,15-24 years,Asian or Pacific Islander,10,267026,Unreliable
CENS-R2,2003,15-24 years,Black or African American,80,1148103,7
CENS-R2,2003,15-24 years,White,779,7918945,9.8
CENS-R2,2003,25-34 years,American Indian or Alaska Native,13,73576,Unreliable
CENS-R2,2003,25-34 years,Asian or Pacific Islander,21,320992,6.5
CENS-R2,2003,25-34 years,Black or African American,102,975501,10.5
CENS-R2,2003,25-34 years,White,1020,7086564,14.4
CENS-R2,2003,35-44 years,American Indian or Alaska Native,12,76481,Unreliable
CENS-R2,2003,35-44 years,Asian or Pacific Islander,13,231252,Unreliable
CENS-R2,2003,35-44 years,Black or African American,85,993950,8.6
CENS-R2,2003,35-44 years,White,1366,8489057,16.1
CENS-R2,2003,45-54 years,Asian or Pacific Islander,12,170169,Unreliable
CENS-R2,2003,45-54 years,Black or African American,59,860373,6.9
CENS-R2,2003,45-54 years,White,1355,8256733,16.4
CENS-R2,2003,55-64 years,Black or African American,38,500832,7.6
CENS-R2,2003,55-64 years,White,709,5627751,12.6
CENS-R2,2003,65-74 years,White,399,3790539,10.5
CENS-R2,2003,75-84 years,Black or African American,10,186057,Unreliable
CENS-R2,2003,75-84 years,White,381,2820917,13.5
CENS-R2,2003,85+ years,White,138,1054978,13.1
CENS-R2,2004,5-14 years,Black or African American,11,1345978,Unreliable
CENS-R2,2004,5-14 years,White,66,7550373,0.9
CENS-R2,2004,15-24 years,American Indian or Alaska Native,24,99316,24.2
CENS-R2,2004,15-24 years,Asian or Pacific Islander,18,275916,Unreliable
CENS-R2,2004,15-24 years,Black or African American,105,1171300,9
CENS-R2,2004,15-24 years,White,882,7943989,11.1
CENS-R2,2004,25-34 years,American Indian or Alaska Native,23,74959,30.7
CENS-R2,2004,25-34 years,Asian or Pacific Islander,16,328700,Unreliable
CENS-R2,2004,25-34 years,Black or African American,106,978889,10.8
CENS-R2,2004,25-34 years,White,1033,7029358,14.7
CENS-R2,2004,35-44 years,American Indian or Alaska Native,19,77467,Unreliable
CENS-R2,2004,35-44 years,Asian or Pacific Islander,18,244001,Unreliable
CENS-R2,2004,35-44 years,Black or African American,83,984730,8.4
CENS-R2,2004,35-44 years,White,1377,8320316,16.5
CENS-R2,2004,45-54 years,American Indian or Alaska Native,13,64403,Unreliable
CENS-R2,2004,45-54 years,Asian or Pacific Islander,16,174997,Unreliable
CENS-R2,2004,45-54 years,Black or African American,59,883527,6.7
CENS-R2,2004,45-54 years,White,1431,8389460,17.1
CENS-R2,2004,55-64 years,Black or African American,30,526631,5.7
CENS-R2,2004,55-64 years,White,772,5852403,13.2
CENS-R2,2004,65-74 years,Black or African American,12,325567,Unreliable
CENS-R2,2004,65-74 years,White,443,3798862,11.7
CENS-R2,2004,75-84 years,White,362,2825171,12.8
CENS-R2,2004,85+ years,White,152,1070959,14.2
CENS-R2,2005,5-14 years,Black or African American,10,1328464,Unreliable
CENS-R2,2005,5-14 years,White,53,7459742,0.7
CENS-R2,2005,15-24 years,American Indian or Alaska Native,33,102158,32.3
CENS-R2,2005,15-24 years,Asian or Pacific Islander,20,283775,7
CENS-R2,2005,15-24 years,Black or African American,80,1195521,6.7
CENS-R2,2005,15-24 years,White,876,7943638,11
CENS-R2,2005,25-34 years,American Indian or Alaska Native,13,76659,Unreliable
CENS-R2,2005,25-34 years,Asian or Pacific Islander,17,335376,Unreliable
CENS-R2,2005,25-34 years,Black or African American,97,981139,9.9
CENS-R2,2005,25-34 years,White,1028,6978405,14.7
CENS-R2,2005,35-44 years,American Indian or Alaska Native,25,78464,31.9
CENS-R2,2005,35-44 years,Asian or Pacific Islander,14,257338,Unreliable
CENS-R2,2005,35-44 years,Black or African American,79,978218,8.1
CENS-R2,2005,35-44 years,White,1426,8158597,17.5
CENS-R2,2005,45-54 years,American Indian or Alaska Native,12,67134,Unreliable
CENS-R2,2005,45-54 years,Asian or Pacific Islander,10,180809,Unreliable
CENS-R2,2005,45-54 years,Black or African American,61,906128,6.7
CENS-R2,2005,45-54 years,White,1452,8520677,17
CENS-R2,2005,55-64 years,Black or African American,17,555881,Unreliable
CENS-R2,2005,55-64 years,White,871,6090123,14.3
CENS-R2,2005,65-74 years,Black or African American,17,328290,Unreliable
CENS-R2,2005,65-74 years,White,445,3805726,11.7
CENS-R2,2005,75-84 years,Black or African American,10,191485,Unreliable
CENS-R2,2005,75-84 years,White,435,2827700,15.4
CENS-R2,2005,85+ years,White,156,1093767,14.3
CENS-R2,2006,5-14 years,Black or African American,11,1316062,Unreliable
CENS-R2,2006,5-14 years,White,47,7407323,0.6
CENS-R2,2006,15-24 years,American Indian or Alaska Native,27,105124,25.7
CENS-R2,2006,15-24 years,Asian or Pacific Islander,11,290715,Unreliable
CENS-R2,2006,15-24 years,Black or African American,85,1222483,7
CENS-R2,2006,15-24 years,White,841,7917362,10.6
CENS-R2,2006,25-34 years,American Indian or Alaska Native,14,78616,Unreliable
CENS-R2,2006,25-34 years,Asian or Pacific Islander,21,342930,6.1
CENS-R2,2006,25-34 years,Black or African American,117,980907,11.9
CENS-R2,2006,25-34 years,White,1004,6949722,14.4
CENS-R2,2006,35-44 years,American Indian or Alaska Native,19,79447,Unreliable
CENS-R2,2006,35-44 years,Asian or Pacific Islander,16,270377,Unreliable
CENS-R2,2006,35-44 years,Black or African American,87,979993,8.9
CENS-R2,2006,35-44 years,White,1422,8001053,17.8
CENS-R2,2006,45-54 years,American Indian or Alaska Native,10,70092,Unreliable
CENS-R2,2006,45-54 years,Asian or Pacific Islander,20,187112,10.7
CENS-R2,2006,45-54 years,Black or African American,71,925623,7.7
CENS-R2,2006,45-54 years,White,1639,8630909,19
CENS-R2,2006,55-64 years,Black or African American,32,584906,5.5
CENS-R2,2006,55-64 years,White,902,6327508,14.3
CENS-R2,2006,65-74 years,White,458,3844736,11.9
CENS-R2,2006,75-84 years,Black or African American,17,192973,Unreliable
CENS-R2,2006,75-84 years,White,384,2821154,13.6
CENS-R2,2006,85+ years,White,144,1127851,12.8
CENS-R2,2007,5-14 years,Black or African American,15,1299904,Unreliable
CENS-R2,2007,5-14 years,White,37,7353528,0.5
CENS-R2,2007,15-24 years,American Indian or Alaska Native,33,106965,30.9
CENS-R2,2007,15-24 years,Asian or Pacific Islander,21,295966,7.1
CENS-R2,2007,15-24 years,Black or African American,86,1245483,6.9
CENS-R2,2007,15-24 years,White,880,7851347,11.2
CENS-R2,2007,25-34 years,American Indian or Alaska Native,17,81336,Unreliable
CENS-R2,2007,25-34 years,Asian or Pacific Islander,18,350443,Unreliable
CENS-R2,2007,25-34 years,Black or African American,92,980603,9.4
CENS-R2,2007,25-34 years,White,1009,6988240,14.4
CENS-R2,2007,35-44 years,American Indian or Alaska Native,13,80234,Unreliable
CENS-R2,2007,35-44 years,Asian or Pacific Islander,18,283778,Unreliable
CENS-R2,2007,35-44 years,Black or African American,76,978563,7.8
CENS-R2,2007,35-44 years,White,1367,7809256,17.5
CENS-R2,2007,45-54 years,American Indian or Alaska Native,11,72474,Unreliable
CENS-R2,2007,45-54 years,Black or African American,54,941907,5.7
CENS-R2,2007,45-54 years,White,1658,8695817,19.1
CENS-R2,2007,55-64 years,Black or African American,31,610850,5.1
CENS-R2,2007,55-64 years,White,989,6555103,15.1
CENS-R2,2007,65-74 years,Black or African American,17,337697,Unreliable
CENS-R2,2007,65-74 years,White,443,3929609,11.3
CENS-R2,2007,75-84 years,Black or African American,10,193996,Unreliable
CENS-R2,2007,75-84 years,White,429,2803943,15.3
CENS-R2,2007,85+ years,White,154,1161067,13.3
CENS-R2,2008,5-14 years,Black or African American,10,1283047,Unreliable
CENS-R2,2008,5-14 years,White,43,7318280,0.6
CENS-R2,2008,15-24 years,American Indian or Alaska Native,26,108559,24
CENS-R2,2008,15-24 years,Asian or Pacific Islander,21,302525,6.9
CENS-R2,2008,15-24 years,Black or African American,115,1269030,9.1
CENS-R2,2008,15-24 years,White,875,7790617,11.2
CENS-R2,2008,25-34 years,American Indian or Alaska Native,17,84588,Unreliable
CENS-R2,2008,25-34 years,Asian or Pacific Islander,13,353511,Unreliable
CENS-R2,2008,25-34 years,Black or African American,108,981873,11
CENS-R2,2008,25-34 years,White,1081,7047209,15.3
CENS-R2,2008,35-44 years,American Indian or Alaska Native,13,81010,Unreliable
CENS-R2,2008,35-44 years,Asian or Pacific Islander,16,294480,Unreliable
CENS-R2,2008,35-44 years,Black or African American,82,972191,8.4
CENS-R2,2008,35-44 years,White,1446,7588007,19.1
CENS-R2,2008,45-54 years,Asian or Pacific Islander,13,201713,Unreliable
CENS-R2,2008,45-54 years,Black or African American,60,955415,6.3
CENS-R2,2008,45-54 years,White,1669,8728965,19.1
CENS-R2,2008,55-64 years,Black or African American,36,635352,5.7
CENS-R2,2008,55-64 years,White,1047,6741648,15.5
CENS-R2,2008,65-74 years,Black or African American,23,345342,6.7
CENS-R2,2008,65-74 years,White,540,4072789,13.3
CENS-R2,2008,75-84 years,Black or African American,10,195379,Unreliable
CENS-R2,2008,75-84 years,White,375,2779961,13.5
CENS-R2,2008,85+ years,White,156,1187635,13.1
CENS-R2,2009,5-14 years,Black or African American,13,1273083,Unreliable
CENS-R2,2009,5-14 years,White,56,7302154,0.8
CENS-R2,2009,15-24 years,American Indian or Alaska Native,35,109845,31.9
CENS-R2,2009,15-24 years,Asian or Pacific Islander,17,310569,Unreliable
CENS-R2,2009,15-24 years,Black or African American,89,1287667,6.9
CENS-R2,2009,15-24 years,White,846,7723436,11
CENS-R2,2009,25-34 years,American Indian or Alaska Native,15,87714,Unreliable
CENS-R2,2009,25-34 years,Asian or Pacific Islander,21,357444,5.9
CENS-R2,2009,25-34 years,Black or African American,87,989910,8.8
CENS-R2,2009,25-34 years,White,1018,7107409,14.3
CENS-R2,2009,35-44 years,American Indian or Alaska Native,17,81501,Unreliable
CENS-R2,2009,35-44 years,Asian or Pacific Islander,17,302917,Unreliable
CENS-R2,2009,35-44 years,Black or African American,69,960924,7.2
CENS-R2,2009,35-44 years,White,1318,7366920,17.9
CENS-R2,2009,45-54 years,Black or African American,59,964753,6.1
CENS-R2,2009,45-54 years,White,1708,8733095,19.6
CENS-R2,2009,55-64 years,Black or African American,30,665831,4.5
CENS-R2,2009,55-64 years,White,1052,6986116,15.1
CENS-R2,2009,65-74 years,Black or African American,10,352905,Unreliable
CENS-R2,2009,65-74 years,White,552,4190842,13.2
CENS-R2,2009,75-84 years,Black or African American,11,196105,Unreliable
CENS-R2,2009,75-84 years,White,387,2744321,14.1
CENS-R2,2009,85+ years,White,162,1215442,13.3
CENS-R2,2010,5-14 years,Black or African American,11,1270753,Unreliable
CENS-R2,2010,5-14 years,White,46,7281290,0.6
CENS-R2,2010,15-24 years,American Indian or Alaska Native,36,110684,32.5
CENS-R2,2010,15-24 years,Asian or Pacific Islander,26,317540,8.2
CENS-R2,2010,15-24 years,Black or African American,89,1297254,6.9
CENS-R2,2010,15-24 years,White,936,7663226,12.2
CENS-R2,2010,25-34 years,American Indian or Alaska Native,17,90925,Unreliable
CENS-R2,2010,25-34 years,Asian or Pacific Islander,25,358873,7
CENS-R2,2010,25-34 years,Black or African American,94,997888,9.4
CENS-R2,2010,25-34 years,White,1157,7143864,16.2
CENS-R2,2010,35-44 years,American Indian or Alaska Native,13,82504,Unreliable
CENS-R2,2010,35-44 years,Asian or Pacific Islander,19,310884,Unreliable
CENS-R2,2010,35-44 years,Black or African American,84,953440,8.8
CENS-R2,2010,35-44 years,White,1276,7233506,17.6
CENS-R2,2010,45-54 years,American Indian or Alaska Native,17,79212,Unreliable
CENS-R2,2010,45-54 years,Asian or Pacific Islander,16,216007,Unreliable
CENS-R2,2010,45-54 years,Black or African American,71,969911,7.3
CENS-R2,2010,45-54 years,White,1820,8693255,20.9
CENS-R2,2010,55-64 years,Asian or Pacific Islander,16,156937,Unreliable
CENS-R2,2010,55-64 years,Black or African American,36,693853,5.2
CENS-R2,2010,55-64 years,White,1228,7195231,17.1
CENS-R2,2010,65-74 years,Black or African American,10,359161,Unreliable
CENS-R2,2010,65-74 years,White,556,4260986,13
CENS-R2,2010,75-84 years,White,391,2736565,14.3
CENS-R2,2010,85+ years,White,177,1237662,14.3
CENS-R2,2011,5-14 years,White,53,7224449,0.7
CENS-R2,2011,15-24 years,American Indian or Alaska Native,18,111871,Unreliable
CENS-R2,2011,15-24 years,Asian or Pacific Islander,15,324624,Unreliable
CENS-R2,2011,15-24 years,Black or African American,111,1315395,8.4
CENS-R2,2011,15-24 years,White,997,7637952,13.1
CENS-R2,2011,25-34 years,American Indian or Alaska Native,15,92159,Unreliable
CENS-R2,2011,25-34 years,Asian or Pacific Islander,31,363166,8.5
CENS-R2,2011,25-34 years,Black or African American,114,1010751,11.3
CENS-R2,2011,25-34 years,White,1212,7224990,16.8
CENS-R2,2011,35-44 years,American Indian or Alaska Native,21,82399,25.5
CENS-R2,2011,35-44 years,Asian or Pacific Islander,17,322890,Unreliable
CENS-R2,2011,35-44 years,Black or African American,80,942800,8.5
CENS-R2,2011,35-44 years,White,1292,7082663,18.2
CENS-R2,2011,45-54 years,Asian or Pacific Islander,13,223730,Unreliable
CENS-R2,2011,45-54 years,Black or African American,66,963502,6.9
CENS-R2,2011,45-54 years,White,1829,8545486,21.4
CENS-R2,2011,55-64 years,Asian or Pacific Islander,15,165702,Unreliable
CENS-R2,2011,55-64 years,Black or African American,40,733552,5.5
CENS-R2,2011,55-64 years,White,1222,7503294,16.3
CENS-R2,2011,65-74 years,Black or African American,19,369901,Unreliable
CENS-R2,2011,65-74 years,White,541,4366643,12.4
CENS-R2,2011,75-84 years,White,433,2727570,15.9
CENS-R2,2011,85+ years,White,173,1279928,13.5
CENS-R2,2012,5-14 years,Black or African American,12,1269376,Unreliable
CENS-R2,2012,5-14 years,White,69,7197811,1
CENS-R2,2012,15-24 years,American Indian or Alaska Native,30,112511,26.7
CENS-R2,2012,15-24 years,Asian or Pacific Islander,30,331848,9
CENS-R2,2012,15-24 years,Black or African American,119,1327771,9
CENS-R2,2012,15-24 years,White,978,7609204,12.9
CENS-R2,2012,25-34 years,American Indian or Alaska Native,18,93168,Unreliable
CENS-R2,2012,25-34 years,Asian or Pacific Islander,26,380442,6.8
CENS-R2,2012,25-34 years,Black or African American,99,1021218,9.7
CENS-R2,2012,25-34 years,White,1214,7242235,16.8
CENS-R2,2012,35-44 years,American Indian or Alaska Native,11,82623,Unreliable
CENS-R2,2012,35-44 years,Asian or Pacific Islander,31,335771,9.2
CENS-R2,2012,35-44 years,Black or African American,99,939882,10.5
CENS-R2,2012,35-44 years,White,1372,7001348,19.6
CENS-R2,2012,45-54 years,American Indian or Alaska Native,12,79802,Unreliable
CENS-R2,2012,45-54 years,Asian or Pacific Islander,13,232096,Unreliable
CENS-R2,2012,45-54 years,Black or African American,64,950816,6.7
CENS-R2,2012,45-54 years,White,1810,8371997,21.6
CENS-R2,2012,55-64 years,Asian or Pacific Islander,15,171925,Unreliable
CENS-R2,2012,55-64 years,Black or African American,38,757408,5
CENS-R2,2012,55-64 years,White,1333,7586876,17.6
CENS-R2,2012,65-74 years,Black or African American,16,387639,Unreliable
CENS-R2,2012,65-74 years,White,592,4637884,12.8
CENS-R2,2012,75-84 years,Black or African American,12,203920,Unreliable
CENS-R2,2012,75-84 years,White,423,2719984,15.6
CENS-R2,2012,85+ years,White,228,1299516,17.5
CENS-R2,2013,5-14 years,Black or African American,15,1270914,Unreliable
CENS-R2,2013,5-14 years,White,75,7167460,1
CENS-R2,2013,15-24 years,American Indian or Alaska Native,33,113852,29
CENS-R2,2013,15-24 years,Asian or Pacific Islander,32,343613,9.3
CENS-R2,2013,15-24 years,Black or African American,122,1337333,9.1
CENS-R2,2013,15-24 years,White,953,7603145,12.5
CENS-R2,2013,25-34 years,American Indian or Alaska Native,24,94164,25.5
CENS-R2,2013,25-34 years,Asian or Pacific Islander,40,393210,10.2
CENS-R2,2013,25-34 years,Black or African American,104,1039479,10
CENS-R2,2013,25-34 years,White,1266,7257028,17.4
CENS-R2,2013,35-44 years,American Indian or Alaska Native,16,82783,Unreliable
CENS-R2,2013,35-44 years,Asian or Pacific Islander,25,347008,7.2
CENS-R2,2013,35-44 years,Black or African American,84,937757,9
CENS-R2,2013,35-44 years,White,1357,6960972,19.5
CENS-R2,2013,45-54 years,American Indian or Alaska Native,15,79708,Unreliable
CENS-R2,2013,45-54 years,Asian or Pacific Islander,13,243951,Unreliable
CENS-R2,2013,45-54 years,Black or African American,77,936140,8.2
CENS-R2,2013,45-54 years,White,1796,8176123,22
CENS-R2,2013,55-64 years,Asian or Pacific Islander,15,178956,Unreliable
CENS-R2,2013,55-64 years,Black or African American,59,777886,7.6
CENS-R2,2013,55-64 years,White,1400,7735637,18.1
CENS-R2,2013,65-74 years,Black or African American,13,407798,Unreliable
CENS-R2,2013,65-74 years,White,693,4845158,14.3
CENS-R2,2013,75-84 years,Black or African American,11,206484,Unreliable
CENS-R2,2013,75-84 years,White,454,2726455,16.7
CENS-R2,2013,85+ years,White,212,1322480,16
CENS-R2,2014,5-14 years,Black or African American,16,1270731,Unreliable
CENS-R2,2014,5-14 years,White,91,7105852,1.3
CENS-R2,2014,15-24 years,American Indian or Alaska Native,26,114202,22.8
CENS-R2,2014,15-24 years,Asian or Pacific Islander,30,367165,8.2
CENS-R2,2014,15-24 years,Black or African American,115,1335763,8.6
CENS-R2,2014,15-24 years,White,1039,7573037,13.7
CENS-R2,2014,25-34 years,American Indian or Alaska Native,18,95296,Unreliable
CENS-R2,2014,25-34 years,Asian or Pacific Islander,18,413522,Unreliable
CENS-R2,2014,25-34 years,Black or African American,102,1065636,9.6
CENS-R2,2014,25-34 years,White,1300,7257723,17.9
CENS-R2,2014,35-44 years,American Indian or Alaska Native,16,82955,Unreliable
CENS-R2,2014,35-44 years,Asian or Pacific Islander,22,361233,6.1
CENS-R2,2014,35-44 years,Black or African American,88,942949,9.3
CENS-R2,2014,35-44 years,White,1326,6916937,19.2
CENS-R2,2014,45-54 years,American Indian or Alaska Native,10,79434,Unreliable
CENS-R2,2014,45-54 years,Asian or Pacific Islander,24,259965,9.2
CENS-R2,2014,45-54 years,Black or African American,62,923695,6.7
CENS-R2,2014,45-54 years,White,1753,8005306,21.9
CENS-R2,2014,55-64 years,Asian or Pacific Islander,12,186213,Unreliable
CENS-R2,2014,55-64 years,Black or African American,40,797692,5
CENS-R2,2014,55-64 years,White,1474,7850627,18.8
CENS-R2,2014,65-74 years,Asian or Pacific Islander,13,112851,Unreliable
CENS-R2,2014,65-74 years,Black or African American,14,428561,Unreliable
CENS-R2,2014,65-74 years,White,734,5040751,14.6
CENS-R2,2014,75-84 years,White,458,2744555,16.7
CENS-R2,2014,85+ years,White,215,1335606,16.1
CENS-R2,2015,5-14 years,Black or African American,12,1267340,Unreliable
CENS-R2,2015,5-14 years,White,77,7033926,1.1
CENS-R2,2015,15-24 years,American Indian or Alaska Native,41,114568,35.8
CENS-R2,2015,15-24 years,Asian or Pacific Islander,42,386842,10.9
CENS-R2,2015,15-24 years,Black or African American,133,1323045,10.1
CENS-R2,2015,15-24 years,White,1098,7526523,14.6
CENS-R2,2015,25-34 years,American Indian or Alaska Native,23,96476,23.8
CENS-R2,2015,25-34 years,Asian or Pacific Islander,31,431038,7.2
CENS-R2,2015,25-34 years,Black or African American,101,1095752,9.2
CENS-R2,2015,25-34 years,White,1391,7248962,19.2
CENS-R2,2015,35-44 years,American Indian or Alaska Native,22,83490,26.4
CENS-R2,2015,35-44 years,Asian or Pacific Islander,19,374420,Unreliable
CENS-R2,2015,35-44 years,Black or African American,82,945379,8.7
CENS-R2,2015,35-44 years,White,1432,6881542,20.8
CENS-R2,2015,45-54 years,American Indian or Alaska Native,15,79232,Unreliable
CENS-R2,2015,45-54 years,Asian or Pacific Islander,18,274473,Unreliable
CENS-R2,2015,45-54 years,Black or African American,55,916019,6
